ms_file,ms_file_label,peak_label,mz_mean,mz_width,rt,rt_min,rt_max,rt_unit,intensity_threshold,target_filename,peak_area,peak_area_top3,peak_n_datapoints,peak_max,peak_rt_of_max,peak_min,peak_median,peak_mean,peak_delta_int,peak_shape_rt,peak_shape_int,peak_mass_diff_25pc,peak_mass_diff_50pc,peak_mass_diff_75pc,peak_score,total_intensity,ms_file_size_MB
Data/mzML/Pos/QC_189.mzML,QC_189,quercetin-3-O-galactoside,465.10276999999996,10,169.0,165.0,175.0,s,1000,unknown,9959475.0,1166528.0,20,1190154.0,170.13600158691406,22505.0,398842.5,497973.75,60067.0,"165.14,165.64,166.14,166.64,167.14,167.64,168.14,168.64,169.14,169.64,170.14,170.63,171.13,171.63,172.13,172.63,173.13,173.63,174.13,174.63","27542,30488,23452,22505,115185,481692,964978,1174391,1190154,1135041,1043094,929895,756034,597717,453435,344250,266383,188357,127273,87609",-5.5488618474344005,-5.3520177512898,-5.171577329823916,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,2α-Hydroxyursolic Acid,473.3625,10,408.0,405.0,411.0,s,1000,unknown,49993.0,7318.0,10,7616.0,410.84698486328125,2706.0,5109.0,4999.3,422.0,"406.35,406.85,407.35,407.85,408.35,408.85,409.35,409.85,410.35,410.85","2848,5860,7324,7616,7015,6242,4358,2754,2706,3270",1.1507856442364601,1.3280775502149649,1.5698392401856534,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,Procyanidin B1,579.1496999999999,10,126.0,123.0,131.0,s,1000,unknown,6020567.0,480776.0,32,518133.0,126.68900299072266,1109.0,134245.0,188142.71875,40659.0,"123.19,123.69,124.19,124.69,125.19,125.69,126.19,126.69,127.19,127.69,128.19,128.69,129.18,129.68,130.18,130.68","1315,1580,14306,104468,324786,492181,518133,432015,314314,252276,212110,162066,119826,83332,62081,46259",-7.343908934406565,-0.019475615395953685,7.094182644074785,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,Procyanidin B2,579.1496999999999,10,140.0,137.0,145.0,s,1000,unknown,25838785.0,1748143.0,32,1883139.0,139.17300415039062,28090.0,730369.5,807462.03125,183491.0,"137.18,137.68,138.18,138.67,139.17,139.67,140.17,140.67,141.17,141.67,142.17,142.67,143.17,143.67,144.17,144.67","30066,42825,191112,801696,1532427,1883139,1828863,1574746,1274428,1053962,883601,719913,550724,407084,310562,236054",-7.264868287079113,-0.12486314516589055,7.199570173844721,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,Isorhamnetin-3-O-β-D-Rutinoside,625.1763,10,178.0,175.0,182.0,s,1000,unknown,46069.0,3622.0,17,4392.0,179.62399291992188,1056.0,2379.0,2709.9411764705883,258.0,"176.63,177.13,177.63,178.13,178.62,179.12,179.62,180.12,181.12","1056,2515,4392,3960,4190,2425,2296,1939,1314",-8.73769152192631,4.8326992922328325,5.1255854249125266,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,procyanidyn c1,867.2130999999999,15,149.0,146.0,155.0,s,1000,unknown,6842042.0,362526.0,40,384042.0,151.15899658203125,14546.0,139050.5,171051.05,102818.0,"146.16,146.66,147.16,147.66,148.16,148.66,149.16,149.66,150.16,150.66,151.16,151.66,152.16,152.66,153.16,153.66,154.15,154.65","15004,15351,23035,75815,217767,348523,384042,355013,300310,243410,211286,182444,148869,130426,125878,129524,131176,118885",-8.405607716189179,2.9960827247185997,3.488748361054121,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,D-sorbitol,183.0863,10,20.0,18.0,22.0,s,1000,unknown,0.0,0.0,0,0.0,,0.0,,,,,,,,,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_189.mzML,QC_189,(+)-Catechin,291.08633,10,135.0,131.0,140.0,s,1000,unknown,1731649.0,218303.0,18,238499.0,139.17300415039062,4101.0,82737.0,96202.72222222222,29206.0,"131.18,131.68,132.18,132.68,133.18,133.68,134.18,134.68,135.18,135.68,136.18,136.68,137.18,137.68,138.18,138.67,139.17,139.67","4830,4101,4727,21422,89203,180237,238499,236174,202051,166688,135353,107814,96795,76271,49904,44530,39014,34036",1.7968117698094213,2.00649236954765,2.2948031941877147,0,21379650525,80.3343334197998
Data/mzML/Pos/QC_203.mzML,QC_203,trans-3-coumaric acid,165.05464,10,177.0,176.0,181.0,s,1000,unknown,20383.0,3775.0,7,4936.0,179.55299377441406,1628.0,2837.0,2911.8571428571427,1209.0,"177.55,178.05,178.55,179.05,179.55,180.05,180.55","2837,4936,3553,2517,3174,1738,1628",4.956351712681394,5.3723627426121485,5.74215032477282,0,23564395204,83.99830627441406
Data/mzML/Pos/QC_203.mzML,QC_203,Ellagic acid,303.0135672,10,170.52,166.92000000000002,174.12,s,1000,unknown,0.0,0.0,0,0.0,,0.0,,,,,,,,,0,23564395204,83.99830627441406
